//X Y Z C2M_signed_distances[<5] R G B
0.07215449 0.01040094 -0.06911391 0.000925 255 172 51
0.07545763 0.01154875 -0.06907782 0.000934 255 172 51
0.06205065 0.02756244 -0.06810494 0.000046 255 172 51
0.06623952 0.03417884 -0.06739296 0.000395 255 172 51
0.06162030 0.02876098 -0.06795688 0.000167 255 172 51
0.06396634 0.03375018 -0.06752887 0.000528 255 172 51
0.08026980 0.02831740 -0.06752259 0.000111 255 172 51
0.07918074 0.02936244 -0.06729265 -0.000059 255 172 51
0.07141840 0.03619704 -0.06726161 0.000315 255 172 51
0.07779007 0.03389968 -0.06724803 0.000404 255 172 51
0.07865922 0.03157631 -0.06722140 0.000275 255 172 51
0.06789555 0.03443479 -0.06731635 0.000326 255 172 51
0.08111203 0.02521618 -0.06811033 0.000527 255 172 51
0.08266000 0.02061057 -0.06834796 0.000781 255 172 51
0.08189932 0.01912890 -0.06855306 0.000876 255 172 51
0.06281938 0.01346429 -0.06919561 0.000765 255 172 51
0.08068348 0.01632771 -0.06891186 0.001080 255 172 51
0.07781190 0.01163527 -0.06906887 0.001009 255 172 51
0.07400359 0.01021119 -0.06908553 0.000927 255 172 51
0.07000805 0.00936665 -0.06911941 0.000913 255 172 51
0.06628832 0.00901058 -0.06915515 0.000876 255 172 51
0.06118356 0.02709743 -0.06835908 0.000202 255 172 51
0.06191481 0.03305914 -0.06766414 0.000623 255 172 51
0.08129069 0.02730997 -0.06780423 0.000372 255 172 51
0.07984921 0.02902447 -0.06736045 0.000009 255 172 51
0.07876983 0.03013170 -0.06722268 -0.000010 255 172 51
0.07446487 0.03820536 -0.06724788 0.000334 255 172 51
0.07723710 0.03669429 -0.06726205 0.000410 255 172 51
0.06894408 0.03548024 -0.06727084 0.000319 255 172 51
0.08317962 0.02258716 -0.06818506 0.000707 255 172 51
0.08277400 0.02439162 -0.06812246 0.000650 255 172 51
0.08217753 0.01789884 -0.06863260 0.000955 255 172 51
0.05996872 0.01452231 -0.06927672 0.000761 255 172 51
0.06330138 0.01098374 -0.06919292 0.000812 255 172 51
0.08262994 0.01630968 -0.06872030 0.001053 255 172 51
0.08034931 0.01158579 -0.06910400 0.001187 255 172 51
0.08165333 0.01481764 -0.06899563 0.001204 255 172 51
0.07318697 0.00729959 -0.06905308 0.000958 255 172 51
0.07634438 0.00878971 -0.06905346 0.000964 255 172 51
0.06727795 0.03596154 -0.06729633 0.000340 255 172 51
0.06518185 0.03630811 -0.06740463 0.000439 255 172 51
0.06186274 0.03617788 -0.06761296 0.000628 255 172 51
0.08126707 0.02896751 -0.06753677 0.000303 255 172 51
0.08044998 0.02909194 -0.06739391 0.000118 255 172 51
0.08032355 0.03031933 -0.06733010 0.000236 255 172 51
0.07217469 0.03862946 -0.06725473 0.000312 255 172 51
0.08017847 0.03573425 -0.06732398 0.000482 255 172 51
0.07975589 0.03318077 -0.06727299 0.000434 255 172 51
0.06878347 0.03733519 -0.06726100 0.000302 255 172 51
0.08277646 0.02625364 -0.06799725 0.000610 255 172 51
0.08335209 0.01811632 -0.06845378 0.000905 255 172 51
0.08417674 0.02115182 -0.06818702 0.000775 255 172 51
0.06075909 0.01160668 -0.06923035 0.000775 255 172 51
0.07905123 0.00928478 -0.06906696 0.001016 255 172 51
0.06965370 0.00481826 -0.06902946 0.000926 255 172 51
0.06286353 0.00860538 -0.06922023 0.000865 255 172 51
0.08237720 0.02861883 -0.06772084 0.000507 255 172 51
0.07690097 0.03859463 -0.06725021 0.000338 255 172 51
0.07038424 0.03894018 -0.06726459 0.000301 255 172 51
0.07306220 0.03949134 -0.06724933 0.000285 255 172 51
0.07924901 0.03888964 -0.06725550 0.000339 255 172 51
0.08015499 0.03194238 -0.06727528 0.000393 255 172 51
0.08289994 0.02769056 -0.06786977 0.000593 255 172 51
0.08419602 0.01944855 -0.06826511 0.000830 255 172 51
0.08402823 0.02379569 -0.06812381 0.000725 255 172 51
0.08427527 0.02253645 -0.06813351 0.000753 255 172 51
0.08405115 0.02548438 -0.06809545 0.000737 255 172 51
0.06162321 0.00998541 -0.06921965 0.000811 255 172 51
0.08313128 0.01427876 -0.06886812 0.001201 255 172 51
0.08092539 0.00945684 -0.06908533 0.001123 255 172 51
0.07662846 0.00462298 -0.06903983 0.001062 255 172 51
0.07371956 0.00279075 -0.06896886 0.001009 255 172 51
0.06615795 0.00557572 -0.06912377 0.000907 255 172 51
0.07842284 0.00692498 -0.06905605 0.000985 255 172 51
0.06452993 0.00714939 -0.06919217 0.000904 255 172 51
0.06684029 0.03779793 -0.06731247 0.000328 255 172 51
0.06473830 0.03964132 -0.06745262 0.000438 255 172 51
0.08261276 0.03048164 -0.06763069 0.000618 255 172 51
0.07677490 0.04057620 -0.06723405 0.000250 255 172 51
0.07198473 0.04034903 -0.06725989 0.000272 255 172 51
0.07395605 0.04075203 -0.06724291 0.000245 255 172 51
0.08193992 0.03823302 -0.06732977 0.000463 255 172 51
0.08154704 0.03298774 -0.06741767 0.000562 255 172 51
0.06806959 0.03968374 -0.06731007 0.000313 255 172 51
0.08427238 0.02768568 -0.06802873 0.000803 255 172 51
0.08522727 0.01777192 -0.06825002 0.000894 255 172 51
0.08548795 0.02202351 -0.06814396 0.000847 255 172 51
0.08589634 0.01979748 -0.06815846 0.000895 255 172 51
0.08458953 0.01621672 -0.06839934 0.000942 255 172 51
